"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"0344";"Utrecht";"1015";"Amsterdam";"00PQ";"00";"SO Fier / Kromme Rijn College";"3571KL";"UTRECHT";"Utrecht";"Vso";"Openbaar";"41400";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0344";"Utrecht";"1035";"Amsterdam";"00PQ";"00";"SO Fier / Kromme Rijn College";"3571KL";"UTRECHT";"Utrecht";"So";"Openbaar";"41400";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0344";"Utrecht";"1069";"Amsterdam";"00PQ";"00";"SO Fier / Kromme Rijn College";"3571KL";"UTRECHT";"Utrecht";"Vso";"Openbaar";"41400";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0344";"Utrecht";"1273";"Huizen";"00PQ";"00";"SO Fier / Kromme Rijn College";"3571KL";"UTRECHT";"Utrecht";"So";"Openbaar";"41400";"0";"0";"0";"0";"<5";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0344";"Utrecht";"2411";"Bodegraven-Reeuwijk";"00PQ";"00";"SO Fier / Kromme Rijn College";"3571KL";"UTRECHT";"Utrecht";"Vso";"Openbaar";"41400";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0344";"Utrecht";"2742";"Waddinxveen";"00PQ";"00";"SO Fier / Kromme Rijn College";"3571KL";"UTRECHT";"Utrecht";"So";"Openbaar";"41400";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0344";"Utrecht";"2801";"Gouda";"00PQ";"00";"SO Fier / Kromme Rijn College";"3571KL";"UTRECHT";"Utrecht";"Vso";"Openbaar";"41400";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0344";"Utrecht";"2803";"Gouda";"00PQ";"00";"SO Fier / Kromme Rijn College";"3571KL";"UTRECHT";"Utrecht";"Vso";"Openbaar";"41400";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0344";"Utrecht";"2807";"Gouda";"00PQ";"00";"SO Fier / Kromme Rijn College";"3571KL";"UTRECHT";"Utrecht";"Vso";"Openbaar";"41400";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0344";"Utrecht";"2923";"Krimpen aan den IJssel";"00PQ";"00";"SO Fier / Kromme Rijn College";"3571KL";"UTRECHT";"Utrecht";"Vso";"Openbaar";"41400";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0344";"Utrecht";"2953";"Alblasserdam";"00PQ";"00";"SO Fier / Kromme Rijn College";"3571KL";"UTRECHT";"Utrecht";"So";"Openbaar";"41400";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0344";"Utrecht";"3202";"Nissewaard";"00PQ";"00";"SO Fier / Kromme Rijn College";"3571KL";"UTRECHT";"Utrecht";"Vso";"Openbaar";"41400";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0344";"Utrecht";"3401";"IJsselstein";"00PQ";"00";"SO Fier / Kromme Rijn College";"3571KL";"UTRECHT";"Utrecht";"So";"Openbaar";"41400";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0344";"Utrecht";"3401";"IJsselstein";"00PQ";"00";"SO Fier / Kromme Rijn College";"3571KL";"UTRECHT";"Utrecht";"Vso";"Openbaar";"41400";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0344";"Utrecht";"3402";"IJsselstein";"00PQ";"00";"SO Fier / Kromme Rijn College";"3571KL";"UTRECHT";"Utrecht";"So";"Openbaar";"41400";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0344";"Utrecht";"3402";"IJsselstein";"00PQ";"00";"SO Fier / Kromme Rijn College";"3571KL";"UTRECHT";"Utrecht";"Vso";"Openbaar";"41400";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0344";"Utrecht";"3404";"IJsselstein";"00PQ";"00";"SO Fier / Kromme Rijn College";"3571KL";"UTRECHT";"Utrecht";"Vso";"Openbaar";"41400";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0344";"Utrecht";"3411";"Lopik";"00PQ";"00";"SO Fier / Kromme Rijn College";"3571KL";"UTRECHT";"Utrecht";"So";"Openbaar";"41400";"0";"0";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0344";"Utrecht";"3411";"Lopik";"00PQ";"00";"SO Fier / Kromme Rijn College";"3571KL";"UTRECHT";"Utrecht";"Vso";"Openbaar";"41400";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0344";"Utrecht";"3412";"Lopik";"00PQ";"00";"SO Fier / Kromme Rijn College";"3571KL";"UTRECHT";"Utrecht";"Vso";"Openbaar";"41400";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0344";"Utrecht";"3417";"Montfoort";"00PQ";"00";"SO Fier / Kromme Rijn College";"3571KL";"UTRECHT";"Utrecht";"So";"Openbaar";"41400";"0";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0344";"Utrecht";"3421";"Oudewater";"00PQ";"00";"SO Fier / Kromme Rijn College";"3571KL";"UTRECHT";"Utrecht";"So";"Openbaar";"41400";"0";"0";"0";"0";"0";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0344";"Utrecht";"3421";"Oudewater";"00PQ";"00";"SO Fier / Kromme Rijn College";"3571KL";"UTRECHT";"Utrecht";"Vso";"Openbaar";"41400";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0344";"Utrecht";"3431";"Nieuwegein";"00PQ";"00";"SO Fier / Kromme Rijn College";"3571KL";"UTRECHT";"Utrecht";"Vso";"Openbaar";"41400";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0344";"Utrecht";"3433";"Nieuwegein";"00PQ";"00";"SO Fier / Kromme Rijn College";"3571KL";"UTRECHT";"Utrecht";"So";"Openbaar";"41400";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0344";"Utrecht";"3433";"Nieuwegein";"00PQ";"00";"SO Fier / Kromme Rijn College";"3571KL";"UTRECHT";"Utrecht";"Vso";"Openbaar";"41400";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0344";"Utrecht";"3434";"Nieuwegein";"00PQ";"00";"SO Fier / Kromme Rijn College";"3571KL";"UTRECHT";"Utrecht";"Vso";"Openbaar";"41400";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0344";"Utrecht";"3435";"Nieuwegein";"00PQ";"00";"SO Fier / Kromme Rijn College";"3571KL";"UTRECHT";"Utrecht";"So";"Openbaar";"41400";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0344";"Utrecht";"3435";"Nieuwegein";"00PQ";"00";"SO Fier / Kromme Rijn College";"3571KL";"UTRECHT";"Utrecht";"Vso";"Openbaar";"41400";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0344";"Utrecht";"3436";"Nieuwegein";"00PQ";"00";"SO Fier / Kromme Rijn College";"3571KL";"UTRECHT";"Utrecht";"Vso";"Openbaar";"41400";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0344";"Utrecht";"3437";"Nieuwegein";"00PQ";"00";"SO Fier / Kromme Rijn College";"3571KL";"UTRECHT";"Utrecht";"Vso";"Openbaar";"41400";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0344";"Utrecht";"3438";"Nieuwegein";"00PQ";"00";"SO Fier / Kromme Rijn College";"3571KL";"UTRECHT";"Utrecht";"Vso";"Openbaar";"41400";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0344";"Utrecht";"3442";"Woerden";"00PQ";"00";"SO Fier / Kromme Rijn College";"3571KL";"UTRECHT";"Utrecht";"Vso";"Openbaar";"41400";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0344";"Utrecht";"3443";"Woerden";"00PQ";"00";"SO Fier / Kromme Rijn College";"3571KL";"UTRECHT";"Utrecht";"So";"Openbaar";"41400";"0";"0";"0";"0";"<5";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0344";"Utrecht";"3443";"Woerden";"00PQ";"00";"SO Fier / Kromme Rijn College";"3571KL";"UTRECHT";"Utrecht";"Vso";"Openbaar";"41400";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0344";"Utrecht";"3446";"Woerden";"00PQ";"00";"SO Fier / Kromme Rijn College";"3571KL";"UTRECHT";"Utrecht";"Vso";"Openbaar";"41400";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0344";"Utrecht";"3448";"Woerden";"00PQ";"00";"SO Fier / Kromme Rijn College";"3571KL";"UTRECHT";"Utrecht";"Vso";"Openbaar";"41400";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0344";"Utrecht";"3451";"Utrecht";"00PQ";"00";"SO Fier / Kromme Rijn College";"3571KL";"UTRECHT";"Utrecht";"So";"Openbaar";"41400";"0";"0";"0";"0";"<5";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0344";"Utrecht";"3451";"Utrecht";"00PQ";"00";"SO Fier / Kromme Rijn College";"3571KL";"UTRECHT";"Utrecht";"Vso";"Openbaar";"41400";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0344";"Utrecht";"3452";"Utrecht";"00PQ";"00";"SO Fier / Kromme Rijn College";"3571KL";"UTRECHT";"Utrecht";"So";"Openbaar";"41400";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0344";"Utrecht";"3452";"Utrecht";"00PQ";"00";"SO Fier / Kromme Rijn College";"3571KL";"UTRECHT";"Utrecht";"Vso";"Openbaar";"41400";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"<5";"0";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0344";"Utrecht";"3453";"Utrecht";"00PQ";"00";"SO Fier / Kromme Rijn College";"3571KL";"UTRECHT";"Utrecht";"So";"Openbaar";"41400";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0344";"Utrecht";"3453";"Utrecht";"00PQ";"00";"SO Fier / Kromme Rijn College";"3571KL";"UTRECHT";"Utrecht";"Vso";"Openbaar";"41400";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0344";"Utrecht";"3454";"Utrecht";"00PQ";"00";"SO Fier / Kromme Rijn College";"3571KL";"UTRECHT";"Utrecht";"So";"Openbaar";"41400";"0";"0";"0";"<5";"<5";"0";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0344";"Utrecht";"3454";"Utrecht";"00PQ";"00";"SO Fier / Kromme Rijn College";"3571KL";"UTRECHT";"Utrecht";"Vso";"Openbaar";"41400";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0344";"Utrecht";"3461";"Montfoort";"00PQ";"00";"SO Fier / Kromme Rijn College";"3571KL";"UTRECHT";"Utrecht";"So";"Openbaar";"41400";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0344";"Utrecht";"3471";"Woerden";"00PQ";"00";"SO Fier / Kromme Rijn College";"3571KL";"UTRECHT";"Utrecht";"Vso";"Openbaar";"41400";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0344";"Utrecht";"3511";"Utrecht";"00PQ";"00";"SO Fier / Kromme Rijn College";"3571KL";"UTRECHT";"Utrecht";"So";"Openbaar";"41400";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0344";"Utrecht";"3512";"Utrecht";"00PQ";"00";"SO Fier / Kromme Rijn College";"3571KL";"UTRECHT";"Utrecht";"Vso";"Openbaar";"41400";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0344";"Utrecht";"3513";"Utrecht";"00PQ";"00";"SO Fier / Kromme Rijn College";"3571KL";"UTRECHT";"Utrecht";"So";"Openbaar";"41400";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0344";"Utrecht";"3513";"Utrecht";"00PQ";"00";"SO Fier / Kromme Rijn College";"3571KL";"UTRECHT";"Utrecht";"Vso";"Openbaar";"41400";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0344";"Utrecht";"3514";"Utrecht";"00PQ";"00";"SO Fier / Kromme Rijn College";"3571KL";"UTRECHT";"Utrecht";"Vso";"Openbaar";"41400";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0344";"Utrecht";"3515";"Utrecht";"00PQ";"00";"SO Fier / Kromme Rijn College";"3571KL";"UTRECHT";"Utrecht";"So";"Openbaar";"41400";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0344";"Utrecht";"3515";"Utrecht";"00PQ";"00";"SO Fier / Kromme Rijn College";"3571KL";"UTRECHT";"Utrecht";"Vso";"Openbaar";"41400";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0344";"Utrecht";"3521";"Utrecht";"00PQ";"00";"SO Fier / Kromme Rijn College";"3571KL";"UTRECHT";"Utrecht";"So";"Openbaar";"41400";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0344";"Utrecht";"3521";"Utrecht";"00PQ";"00";"SO Fier / Kromme Rijn College";"3571KL";"UTRECHT";"Utrecht";"Vso";"Openbaar";"41400";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0344";"Utrecht";"3522";"Utrecht";"00PQ";"00";"SO Fier / Kromme Rijn College";"3571KL";"UTRECHT";"Utrecht";"So";"Openbaar";"41400";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0344";"Utrecht";"3522";"Utrecht";"00PQ";"00";"SO Fier / Kromme Rijn College";"3571KL";"UTRECHT";"Utrecht";"Vso";"Openbaar";"41400";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0344";"Utrecht";"3523";"Utrecht";"00PQ";"00";"SO Fier / Kromme Rijn College";"3571KL";"UTRECHT";"Utrecht";"So";"Openbaar";"41400";"0";"0";"0";"0";"0";"<5";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0344";"Utrecht";"3523";"Utrecht";"00PQ";"00";"SO Fier / Kromme Rijn College";"3571KL";"UTRECHT";"Utrecht";"Vso";"Openbaar";"41400";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"<5";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0344";"Utrecht";"3524";"Utrecht";"00PQ";"00";"SO Fier / Kromme Rijn College";"3571KL";"UTRECHT";"Utrecht";"So";"Openbaar";"41400";"0";"0";"0";"<5";"<5";"<5";"<5";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0344";"Utrecht";"3524";"Utrecht";"00PQ";"00";"SO Fier / Kromme Rijn College";"3571KL";"UTRECHT";"Utrecht";"Vso";"Openbaar";"41400";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"<5";"<5";"<5";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0"
"20241001";"0344";"Utrecht";"3525";"Utrecht";"00PQ";"00";"SO Fier / Kromme Rijn College";"3571KL";"UTRECHT";"Utrecht";"So";"Openbaar";"41400";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0344";"Utrecht";"3525";"Utrecht";"00PQ";"00";"SO Fier / Kromme Rijn College";"3571KL";"UTRECHT";"Utrecht";"Vso";"Openbaar";"41400";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"<5";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0344";"Utrecht";"3526";"Utrecht";"00PQ";"00";"SO Fier / Kromme Rijn College";"3571KL";"UTRECHT";"Utrecht";"So";"Openbaar";"41400";"0";"0";"0";"<5";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0344";"Utrecht";"3526";"Utrecht";"00PQ";"00";"SO Fier / Kromme Rijn College";"3571KL";"UTRECHT";"Utrecht";"Vso";"Openbaar";"41400";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"<5";"<5";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0344";"Utrecht";"3527";"Utrecht";"00PQ";"00";"SO Fier / Kromme Rijn College";"3571KL";"UTRECHT";"Utrecht";"So";"Openbaar";"41400";"0";"0";"0";"0";"0";"0";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0344";"Utrecht";"3527";"Utrecht";"00PQ";"00";"SO Fier / Kromme Rijn College";"3571KL";"UTRECHT";"Utrecht";"Vso";"Openbaar";"41400";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0344";"Utrecht";"3531";"Utrecht";"00PQ";"00";"SO Fier / Kromme Rijn College";"3571KL";"UTRECHT";"Utrecht";"So";"Openbaar";"41400";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0344";"Utrecht";"3531";"Utrecht";"00PQ";"00";"SO Fier / Kromme Rijn College";"3571KL";"UTRECHT";"Utrecht";"Vso";"Openbaar";"41400";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0344";"Utrecht";"3532";"Utrecht";"00PQ";"00";"SO Fier / Kromme Rijn College";"3571KL";"UTRECHT";"Utrecht";"So";"Openbaar";"41400";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0344";"Utrecht";"3532";"Utrecht";"00PQ";"00";"SO Fier / Kromme Rijn College";"3571KL";"UTRECHT";"Utrecht";"Vso";"Openbaar";"41400";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"<5";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0344";"Utrecht";"3533";"Utrecht";"00PQ";"00";"SO Fier / Kromme Rijn College";"3571KL";"UTRECHT";"Utrecht";"So";"Openbaar";"41400";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0344";"Utrecht";"3533";"Utrecht";"00PQ";"00";"SO Fier / Kromme Rijn College";"3571KL";"UTRECHT";"Utrecht";"Vso";"Openbaar";"41400";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"<5";"<5";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0344";"Utrecht";"3534";"Utrecht";"00PQ";"00";"SO Fier / Kromme Rijn College";"3571KL";"UTRECHT";"Utrecht";"So";"Openbaar";"41400";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0344";"Utrecht";"3534";"Utrecht";"00PQ";"00";"SO Fier / Kromme Rijn College";"3571KL";"UTRECHT";"Utrecht";"Vso";"Openbaar";"41400";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0344";"Utrecht";"3541";"Utrecht";"00PQ";"00";"SO Fier / Kromme Rijn College";"3571KL";"UTRECHT";"Utrecht";"So";"Openbaar";"41400";"0";"0";"0";"0";"<5";"0";"<5";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0344";"Utrecht";"3541";"Utrecht";"00PQ";"00";"SO Fier / Kromme Rijn College";"3571KL";"UTRECHT";"Utrecht";"Vso";"Openbaar";"41400";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"<5";"<5";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0344";"Utrecht";"3543";"Utrecht";"00PQ";"00";"SO Fier / Kromme Rijn College";"3571KL";"UTRECHT";"Utrecht";"So";"Openbaar";"41400";"0";"0";"<5";"0";"<5";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0344";"Utrecht";"3543";"Utrecht";"00PQ";"00";"SO Fier / Kromme Rijn College";"3571KL";"UTRECHT";"Utrecht";"Vso";"Openbaar";"41400";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0344";"Utrecht";"3544";"Utrecht";"00PQ";"00";"SO Fier / Kromme Rijn College";"3571KL";"UTRECHT";"Utrecht";"So";"Openbaar";"41400";"0";"0";"0";"<5";"0";"0";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0344";"Utrecht";"3544";"Utrecht";"00PQ";"00";"SO Fier / Kromme Rijn College";"3571KL";"UTRECHT";"Utrecht";"Vso";"Openbaar";"41400";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"<5";"0";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0344";"Utrecht";"3545";"Utrecht";"00PQ";"00";"SO Fier / Kromme Rijn College";"3571KL";"UTRECHT";"Utrecht";"Vso";"Openbaar";"41400";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0"
