"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"0553";"Lisse";"2161";"Lisse";"02EJ";"05";"Campus Lisse";"2162VW";"LISSE";"Zuid-Holland";"So";"Algemeen bijzonder";"41008";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0553";"Lisse";"2171";"Teylingen";"02EJ";"05";"Campus Lisse";"2162VW";"LISSE";"Zuid-Holland";"So";"Algemeen bijzonder";"41008";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0553";"Lisse";"2172";"Teylingen";"02EJ";"05";"Campus Lisse";"2162VW";"LISSE";"Zuid-Holland";"So";"Algemeen bijzonder";"41008";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0553";"Lisse";"2181";"Hillegom";"02EJ";"05";"Campus Lisse";"2162VW";"LISSE";"Zuid-Holland";"So";"Algemeen bijzonder";"41008";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0553";"Lisse";"2182";"Hillegom";"02EJ";"05";"Campus Lisse";"2162VW";"LISSE";"Zuid-Holland";"So";"Algemeen bijzonder";"41008";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0553";"Lisse";"2211";"Noordwijk";"02EJ";"05";"Campus Lisse";"2162VW";"LISSE";"Zuid-Holland";"So";"Algemeen bijzonder";"41008";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0553";"Lisse";"2361";"Teylingen";"02EJ";"05";"Campus Lisse";"2162VW";"LISSE";"Zuid-Holland";"So";"Algemeen bijzonder";"41008";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0553";"Lisse";"1551";"Zaanstad";"02SO";"00";"Don Boscoschool";"2162VW";"LISSE";"Zuid-Holland";"Sbo";"Rooms-Katholiek";"41008";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0553";"Lisse";"2114";"Bloemendaal";"02SO";"00";"Don Boscoschool";"2162VW";"LISSE";"Zuid-Holland";"Sbo";"Rooms-Katholiek";"41008";"0";"0";"<5";"0";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0553";"Lisse";"2121";"Bloemendaal";"02SO";"00";"Don Boscoschool";"2162VW";"LISSE";"Zuid-Holland";"Sbo";"Rooms-Katholiek";"41008";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0553";"Lisse";"2151";"Haarlemmermeer";"02SO";"00";"Don Boscoschool";"2162VW";"LISSE";"Zuid-Holland";"Sbo";"Rooms-Katholiek";"41008";"0";"0";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0553";"Lisse";"2152";"Haarlemmermeer";"02SO";"00";"Don Boscoschool";"2162VW";"LISSE";"Zuid-Holland";"Sbo";"Rooms-Katholiek";"41008";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0553";"Lisse";"2156";"Haarlemmermeer";"02SO";"00";"Don Boscoschool";"2162VW";"LISSE";"Zuid-Holland";"Sbo";"Rooms-Katholiek";"41008";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0553";"Lisse";"2161";"Lisse";"02SO";"00";"Don Boscoschool";"2162VW";"LISSE";"Zuid-Holland";"Sbo";"Rooms-Katholiek";"41008";"0";"0";"<5";"<5";"0";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0553";"Lisse";"2162";"Lisse";"02SO";"00";"Don Boscoschool";"2162VW";"LISSE";"Zuid-Holland";"Sbo";"Rooms-Katholiek";"41008";"0";"0";"0";"<5";"<5";"<5";"5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0553";"Lisse";"2163";"Lisse";"02SO";"00";"Don Boscoschool";"2162VW";"LISSE";"Zuid-Holland";"Sbo";"Rooms-Katholiek";"41008";"0";"0";"<5";"0";"<5";"<5";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0553";"Lisse";"2165";"Haarlemmermeer";"02SO";"00";"Don Boscoschool";"2162VW";"LISSE";"Zuid-Holland";"Sbo";"Rooms-Katholiek";"41008";"0";"0";"<5";"0";"<5";"0";"<5";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0553";"Lisse";"2171";"Teylingen";"02SO";"00";"Don Boscoschool";"2162VW";"LISSE";"Zuid-Holland";"Sbo";"Rooms-Katholiek";"41008";"0";"0";"0";"0";"0";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0553";"Lisse";"2172";"Teylingen";"02SO";"00";"Don Boscoschool";"2162VW";"LISSE";"Zuid-Holland";"Sbo";"Rooms-Katholiek";"41008";"0";"0";"0";"0";"<5";"<5";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0553";"Lisse";"2181";"Hillegom";"02SO";"00";"Don Boscoschool";"2162VW";"LISSE";"Zuid-Holland";"Sbo";"Rooms-Katholiek";"41008";"0";"0";"0";"0";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0553";"Lisse";"2182";"Hillegom";"02SO";"00";"Don Boscoschool";"2162VW";"LISSE";"Zuid-Holland";"Sbo";"Rooms-Katholiek";"41008";"0";"0";"<5";"0";"0";"<5";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0553";"Lisse";"2191";"Noordwijk";"02SO";"00";"Don Boscoschool";"2162VW";"LISSE";"Zuid-Holland";"Sbo";"Rooms-Katholiek";"41008";"0";"0";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0553";"Lisse";"2201";"Noordwijk";"02SO";"00";"Don Boscoschool";"2162VW";"LISSE";"Zuid-Holland";"Sbo";"Rooms-Katholiek";"41008";"0";"0";"0";"0";"0";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
