"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"1894";"Peel en Maas";"5984";"Peel en Maas";"11XY";"00";"BS De Groenling";"5981WV";"PANNINGEN";"Limburg";"Bo";"Rooms-Katholiek";"47959";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1894";"Peel en Maas";"5986";"Peel en Maas";"11XY";"00";"BS De Groenling";"5981WV";"PANNINGEN";"Limburg";"Bo";"Rooms-Katholiek";"47959";"0";"<5";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1894";"Peel en Maas";"5987";"Peel en Maas";"11XY";"00";"BS De Groenling";"5981WV";"PANNINGEN";"Limburg";"Bo";"Rooms-Katholiek";"47959";"0";"0";"<5";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1894";"Peel en Maas";"5988";"Peel en Maas";"11XY";"00";"BS De Groenling";"5981WV";"PANNINGEN";"Limburg";"Bo";"Rooms-Katholiek";"47959";"0";"<5";"<5";"<5";"0";"<5";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1894";"Peel en Maas";"5993";"Peel en Maas";"11XY";"00";"BS De Groenling";"5981WV";"PANNINGEN";"Limburg";"Bo";"Rooms-Katholiek";"47959";"0";"<5";"10";"7";"7";"<5";"5";"5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1894";"Peel en Maas";"6086";"Leudal";"11XY";"00";"BS De Groenling";"5981WV";"PANNINGEN";"Limburg";"Bo";"Rooms-Katholiek";"47959";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1894";"Peel en Maas";"6089";"Leudal";"11XY";"00";"BS De Groenling";"5981WV";"PANNINGEN";"Limburg";"Bo";"Rooms-Katholiek";"47959";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1894";"Peel en Maas";"5926";"Venlo";"31DM";"00";"Openbaar KC De Wereld";"5993BN";"MAASBREE";"Limburg";"Bo";"Openbaar";"41398";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1894";"Peel en Maas";"5971";"Horst aan de Maas";"31DM";"00";"Openbaar KC De Wereld";"5993BN";"MAASBREE";"Limburg";"Bo";"Openbaar";"41398";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1894";"Peel en Maas";"5973";"Horst aan de Maas";"31DM";"00";"Openbaar KC De Wereld";"5993BN";"MAASBREE";"Limburg";"Bo";"Openbaar";"41398";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1894";"Peel en Maas";"5984";"Peel en Maas";"31DM";"00";"Openbaar KC De Wereld";"5993BN";"MAASBREE";"Limburg";"Bo";"Openbaar";"41398";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1894";"Peel en Maas";"5991";"Peel en Maas";"31DM";"00";"Openbaar KC De Wereld";"5993BN";"MAASBREE";"Limburg";"Bo";"Openbaar";"41398";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1894";"Peel en Maas";"5993";"Peel en Maas";"31DM";"00";"Openbaar KC De Wereld";"5993BN";"MAASBREE";"Limburg";"Bo";"Openbaar";"41398";"0";"8";"10";"8";"10";"<5";"<5";"8";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
