"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"0715";"Terneuzen";"4543";"Terneuzen";"00MY";"00";"De Springplank";"4532BX";"TERNEUZEN";"Zeeland";"Sbo";"Algemeen bijzonder";"40876";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0715";"Terneuzen";"4551";"Terneuzen";"00MY";"00";"De Springplank";"4532BX";"TERNEUZEN";"Zeeland";"Sbo";"Algemeen bijzonder";"40876";"0";"0";"0";"0";"<5";"<5";"<5";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0715";"Terneuzen";"4553";"Terneuzen";"00MY";"00";"De Springplank";"4532BX";"TERNEUZEN";"Zeeland";"Sbo";"Algemeen bijzonder";"40876";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0715";"Terneuzen";"4554";"Terneuzen";"00MY";"00";"De Springplank";"4532BX";"TERNEUZEN";"Zeeland";"Sbo";"Algemeen bijzonder";"40876";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0715";"Terneuzen";"4561";"Hulst";"00MY";"00";"De Springplank";"4532BX";"TERNEUZEN";"Zeeland";"Sbo";"Algemeen bijzonder";"40876";"0";"<5";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0715";"Terneuzen";"4564";"Hulst";"00MY";"00";"De Springplank";"4532BX";"TERNEUZEN";"Zeeland";"Sbo";"Algemeen bijzonder";"40876";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0715";"Terneuzen";"4571";"Terneuzen";"00MY";"00";"De Springplank";"4532BX";"TERNEUZEN";"Zeeland";"Sbo";"Algemeen bijzonder";"40876";"0";"0";"0";"5";"0";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0715";"Terneuzen";"4574";"Terneuzen";"00MY";"00";"De Springplank";"4532BX";"TERNEUZEN";"Zeeland";"Sbo";"Algemeen bijzonder";"40876";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0715";"Terneuzen";"4576";"Terneuzen";"00MY";"00";"De Springplank";"4532BX";"TERNEUZEN";"Zeeland";"Sbo";"Algemeen bijzonder";"40876";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0715";"Terneuzen";"4581";"Hulst";"00MY";"00";"De Springplank";"4532BX";"TERNEUZEN";"Zeeland";"Sbo";"Algemeen bijzonder";"40876";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0715";"Terneuzen";"4586";"Hulst";"00MY";"00";"De Springplank";"4532BX";"TERNEUZEN";"Zeeland";"Sbo";"Algemeen bijzonder";"40876";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
