"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"1883";"Sittard-Geleen";"6151";"Sittard-Geleen";"00BW";"00";"Jenaplanschool De Vlieger";"6131KJ";"SITTARD";"Limburg";"Bo";"Algemeen bijzonder";"41516";"0";"0";"0";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1883";"Sittard-Geleen";"6162";"Sittard-Geleen";"00BW";"00";"Jenaplanschool De Vlieger";"6131KJ";"SITTARD";"Limburg";"Bo";"Algemeen bijzonder";"41516";"0";"<5";"0";"<5";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1883";"Sittard-Geleen";"6163";"Sittard-Geleen";"00BW";"00";"Jenaplanschool De Vlieger";"6131KJ";"SITTARD";"Limburg";"Bo";"Algemeen bijzonder";"41516";"0";"0";"0";"0";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1883";"Sittard-Geleen";"6164";"Sittard-Geleen";"00BW";"00";"Jenaplanschool De Vlieger";"6131KJ";"SITTARD";"Limburg";"Bo";"Algemeen bijzonder";"41516";"0";"<5";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1883";"Sittard-Geleen";"6165";"Sittard-Geleen";"00BW";"00";"Jenaplanschool De Vlieger";"6131KJ";"SITTARD";"Limburg";"Bo";"Algemeen bijzonder";"41516";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1883";"Sittard-Geleen";"6166";"Sittard-Geleen";"00BW";"00";"Jenaplanschool De Vlieger";"6131KJ";"SITTARD";"Limburg";"Bo";"Algemeen bijzonder";"41516";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1883";"Sittard-Geleen";"6438";"Beekdaelen";"00BW";"00";"Jenaplanschool De Vlieger";"6131KJ";"SITTARD";"Limburg";"Bo";"Algemeen bijzonder";"41516";"0";"0";"0";"<5";"0";"<5";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1883";"Sittard-Geleen";"6454";"Beekdaelen";"00BW";"00";"Jenaplanschool De Vlieger";"6131KJ";"SITTARD";"Limburg";"Bo";"Algemeen bijzonder";"41516";"0";"0";"0";"0";"0";"<5";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1883";"Sittard-Geleen";"40";"Onbekend";"01DM";"00";"SSBO De Diamant";"6166XM";"GELEEN";"Limburg";"Sbo";"Algemeen bijzonder";"83280";"0";"0";"0";"0";"<5";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1883";"Sittard-Geleen";"6118";"Echt-Susteren";"01DM";"00";"SSBO De Diamant";"6166XM";"GELEEN";"Limburg";"Sbo";"Algemeen bijzonder";"83280";"0";"0";"<5";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1883";"Sittard-Geleen";"6121";"Sittard-Geleen";"01DM";"00";"SSBO De Diamant";"6166XM";"GELEEN";"Limburg";"Sbo";"Algemeen bijzonder";"83280";"0";"0";"0";"<5";"<5";"<5";"<5";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
