"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"0828";"Oss";"5268";"Vught";"00RT";"00";"De Sonnewijser";"5343GH";"OSS";"Noord-Brabant";"Vso";"Algemeen bijzonder";"42572";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0828";"Oss";"5341";"Oss";"00RT";"00";"De Sonnewijser";"5343GH";"OSS";"Noord-Brabant";"Vso";"Algemeen bijzonder";"42572";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0828";"Oss";"5342";"Oss";"00RT";"00";"De Sonnewijser";"5343GH";"OSS";"Noord-Brabant";"Vso";"Algemeen bijzonder";"42572";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0828";"Oss";"5343";"Oss";"00RT";"00";"De Sonnewijser";"5343GH";"OSS";"Noord-Brabant";"Vso";"Algemeen bijzonder";"42572";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0828";"Oss";"5344";"Oss";"00RT";"00";"De Sonnewijser";"5343GH";"OSS";"Noord-Brabant";"Vso";"Algemeen bijzonder";"42572";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0828";"Oss";"5345";"Oss";"00RT";"00";"De Sonnewijser";"5343GH";"OSS";"Noord-Brabant";"Vso";"Algemeen bijzonder";"42572";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0828";"Oss";"5346";"Oss";"00RT";"00";"De Sonnewijser";"5343GH";"OSS";"Noord-Brabant";"Vso";"Algemeen bijzonder";"42572";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0828";"Oss";"5347";"Oss";"00RT";"00";"De Sonnewijser";"5343GH";"OSS";"Noord-Brabant";"Vso";"Algemeen bijzonder";"42572";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0828";"Oss";"5348";"Oss";"00RT";"00";"De Sonnewijser";"5343GH";"OSS";"Noord-Brabant";"Vso";"Algemeen bijzonder";"42572";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0828";"Oss";"5351";"Oss";"00RT";"00";"De Sonnewijser";"5343GH";"OSS";"Noord-Brabant";"Vso";"Algemeen bijzonder";"42572";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"<5";"<5";"0";"6";"0";"<5";"0";"0";"0";"0";"0";"0";"0"
