"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"0757";"Boxtel";"5268";"Vught";"02SJ";"01";"Hub Noord-Brabant";"5282RL";"BOXTEL";"Noord-Brabant";"So";"Rooms-Katholiek";"82292";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0757";"Boxtel";"5268";"Vught";"02SJ";"01";"Hub Noord-Brabant";"5282RL";"BOXTEL";"Noord-Brabant";"Vso";"Rooms-Katholiek";"82292";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0757";"Boxtel";"5271";"Sint-Michielsgestel";"02SJ";"01";"Hub Noord-Brabant";"5282RL";"BOXTEL";"Noord-Brabant";"So";"Rooms-Katholiek";"82292";"0";"0";"0";"0";"<5";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0757";"Boxtel";"5271";"Sint-Michielsgestel";"02SJ";"01";"Hub Noord-Brabant";"5282RL";"BOXTEL";"Noord-Brabant";"Vso";"Rooms-Katholiek";"82292";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0757";"Boxtel";"5281";"Boxtel";"02SJ";"01";"Hub Noord-Brabant";"5282RL";"BOXTEL";"Noord-Brabant";"So";"Rooms-Katholiek";"82292";"0";"0";"<5";"<5";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0757";"Boxtel";"5281";"Boxtel";"02SJ";"01";"Hub Noord-Brabant";"5282RL";"BOXTEL";"Noord-Brabant";"Vso";"Rooms-Katholiek";"82292";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0757";"Boxtel";"5282";"Boxtel";"02SJ";"01";"Hub Noord-Brabant";"5282RL";"BOXTEL";"Noord-Brabant";"So";"Rooms-Katholiek";"82292";"0";"0";"0";"<5";"<5";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0757";"Boxtel";"5282";"Boxtel";"02SJ";"01";"Hub Noord-Brabant";"5282RL";"BOXTEL";"Noord-Brabant";"Vso";"Rooms-Katholiek";"82292";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"<5";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0757";"Boxtel";"5283";"Boxtel";"02SJ";"01";"Hub Noord-Brabant";"5282RL";"BOXTEL";"Noord-Brabant";"So";"Rooms-Katholiek";"82292";"0";"0";"<5";"<5";"<5";"<5";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0757";"Boxtel";"5283";"Boxtel";"02SJ";"01";"Hub Noord-Brabant";"5282RL";"BOXTEL";"Noord-Brabant";"Vso";"Rooms-Katholiek";"82292";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"<5";"<5";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0757";"Boxtel";"5291";"Sint-Michielsgestel";"02SJ";"01";"Hub Noord-Brabant";"5282RL";"BOXTEL";"Noord-Brabant";"So";"Rooms-Katholiek";"82292";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0757";"Boxtel";"5296";"Boxtel";"02SJ";"01";"Hub Noord-Brabant";"5282RL";"BOXTEL";"Noord-Brabant";"So";"Rooms-Katholiek";"82292";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0757";"Boxtel";"5298";"Boxtel";"02SJ";"01";"Hub Noord-Brabant";"5282RL";"BOXTEL";"Noord-Brabant";"So";"Rooms-Katholiek";"82292";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0757";"Boxtel";"5298";"Boxtel";"02SJ";"01";"Hub Noord-Brabant";"5282RL";"BOXTEL";"Noord-Brabant";"Vso";"Rooms-Katholiek";"82292";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0757";"Boxtel";"5481";"Meierijstad";"02SJ";"01";"Hub Noord-Brabant";"5282RL";"BOXTEL";"Noord-Brabant";"So";"Rooms-Katholiek";"82292";"0";"0";"0";"0";"<5";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0757";"Boxtel";"5482";"Meierijstad";"02SJ";"01";"Hub Noord-Brabant";"5282RL";"BOXTEL";"Noord-Brabant";"So";"Rooms-Katholiek";"82292";"0";"0";"0";"0";"0";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0757";"Boxtel";"5482";"Meierijstad";"02SJ";"01";"Hub Noord-Brabant";"5282RL";"BOXTEL";"Noord-Brabant";"Vso";"Rooms-Katholiek";"82292";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0"
